n age vac state e cov waning impact impact_low impact_hi irr irr_low irr_hi AsurpE
1 12 E_p S 0.8 0.7 10 2.387305 1.597238 3.401866 8.538564 6.027278 11.948631 1
2 12 E_p S 0.8 0.7 20 2.657947 1.772887 3.788512 9.915264 7.019638 13.817143 1
3 12 E_p L 0.8 0.7 10 0 0 0 0 0 0 0
4 12 E_p L 0.8 0.7 20 0 0 0 0 0 0 0
5 12 E_p LR 0.8 0.7 10 0 0 0 0 0 0 0
6 12 E_p LR 0.8 0.7 20 0 0 0 0 0 0 0
7 12 E_p SLR 0.8 0.7 10 2.387305 1.597238 3.401866 8.538564 6.027278 11.948631 1
8 12 E_p SLR 0.8 0.7 20 2.657947 1.772887 3.788512 9.915264 7.019638 13.817143 1
1 12 E_q S 0.8 0.7 10 0.008411 0.004038 0.014087 0.0399 0.020804 0.064781 1
2 12 E_q S 0.8 0.7 20 0.010481 0.005035 0.017622 0.05455 0.028355 0.088767 1
3 12 E_q L 0.8 0.7 10 0.163409 0.089217 0.25966 0.618289 0.357347 0.950929 0
4 12 E_q L 0.8 0.7 20 0.183183 0.100342 0.290545 0.72661 0.422054 1.120345 0
5 12 E_q LR 0.8 0.7 10 0.19439 0.107529 0.302088 0.732809 0.426885 1.117803 0
6 12 E_q LR 0.8 0.7 20 0.218206 0.120583 0.338182 0.862433 0.504434 1.318486 0
7 12 E_q SLR 0.8 0.7 10 0.202434 0.111041 0.315596 0.771021 0.446031 1.18172 0
8 12 E_q SLR 0.8 0.7 20 0.227742 0.125321 0.354585 0.913934 0.532823 1.402835 0
1 12 E_rl S 0.8 0.7 10 0.06608 0.047803 0.089227 0.29574 0.231261 0.390237 1
2 12 E_rl S 0.8 0.7 20 0.082049 0.059267 0.110585 0.402697 0.315295 0.529205 1
3 12 E_rl L 0.8 0.7 10 1.715136 1.382126 2.08029 6.229802 4.881122 8.081561 0
4 12 E_rl L 0.8 0.7 20 1.886399 1.517666 2.288572 7.132829 5.575594 9.277752 0
5 12 E_rl LR 0.8 0.7 10 1.715136 1.382126 2.08029 6.229802 4.881122 8.081561 0
6 12 E_rl LR 0.8 0.7 20 1.886399 1.517666 2.288572 7.132829 5.575594 9.277752 0
7 12 E_rl SLR 0.8 0.7 10 1.774663 1.449466 2.142562 6.529984 5.150203 8.372281 0
8 12 E_rl SLR 0.8 0.7 20 1.962815 1.600799 2.36655 7.537954 5.939273 9.657919 0
1 12 E_relapse S 0.8 0.7 10 0.009688 0.006221 0.014159 0.041075 0.027183 0.058116 1
2 12 E_relapse S 0.8 0.7 20 0.012382 0.007952 0.018044 0.05858 0.039201 0.083061 1
3 12 E_relapse L 0.8 0.7 10 0.009773 0.007132 0.013052 0.038551 0.025403 0.055733 0
4 12 E_relapse L 0.8 0.7 20 0.011684 0.008588 0.015636 0.050501 0.033817 0.072912 0
5 12 E_relapse LR 0.8 0.7 10 0.309366 0.234812 0.403351 0.939036 0.622238 1.371413 0
6 12 E_relapse LR 0.8 0.7 20 0.34412 0.262116 0.448284 1.10555 0.747377 1.608441 0
7 12 E_relapse SLR 0.8 0.7 10 0.318729 0.243972 0.412177 0.978513 0.662324 1.413609 0
8 12 E_relapse SLR 0.8 0.7 20 0.356316 0.273904 0.459518 1.165557 0.802394 1.670627 0
1 12 All S 0.8 0.7 10 2.468244 1.658825 3.487304 8.906346 6.33807 12.326649 1
2 12 All S 0.8 0.7 20 2.754466 1.849727 3.890399 10.424349 7.459904 14.322014 1
3 12 All L 0.8 0.7 10 1.880149 1.501683 2.23748 6.845304 5.341753 8.579778 0
4 12 All L 0.8 0.7 20 2.071319 1.653195 2.468041 7.851066 6.104565 9.922203 0
5 12 All LR 0.8 0.7 10 2.210835 1.790311 2.573954 7.832614 6.213021 9.874613 0
6 12 All LR 0.8 0.7 20 2.43692 1.973887 2.839211 9.010641 7.12119 11.398986 0
7 12 All SLR 0.8 0.7 10 4.583776 3.827584 5.334198 16.397477 14.193913 18.77698 0
8 12 All SLR 0.8 0.7 20 5.063992 4.216894 5.903411 18.931673 16.383051 21.620544 0
