entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
s 	 0 	 0 	 5 	 0 	 1 	 0.999999855346 	 0.999999855346 	 0.999999855346 
s 	 0 	 5 	 10 	 0 	 1 	 0.999999224305 	 0.999999224305 	 0.999999224305 
s 	 0 	 10 	 15 	 0 	 1 	 0.999998428250 	 0.999998428250 	 0.999998428250 
s 	 0 	 15 	 20 	 0 	 1 	 0.999997860980 	 0.999997860980 	 0.999997860980 
s 	 0 	 20 	 25 	 0 	 1 	 0.999995931442 	 0.999995931442 	 0.999995931442 
s 	 0 	 25 	 30 	 0 	 1 	 0.999992572100 	 0.999992572100 	 0.999992572100 
s 	 0 	 30 	 35 	 0 	 1 	 0.999989168884 	 0.999989168884 	 0.999989168884 
s 	 0 	 35 	 40 	 0 	 1 	 0.999986198627 	 0.999986198627 	 0.999986198627 
s 	 0 	 40 	 45 	 0 	 1 	 0.999982929934 	 0.999982929934 	 0.999982929934 
s 	 0 	 45 	 50 	 0 	 1 	 0.999977710573 	 0.999977710573 	 0.999977710573 
s 	 0 	 50 	 55 	 0 	 1 	 0.999973546284 	 0.999973546284 	 0.999973546284 
s 	 0 	 55 	 60 	 0 	 1 	 0.999968461940 	 0.999968461940 	 0.999968461940 
s 	 0 	 60 	 65 	 0 	 1 	 0.999960810034 	 0.999960810034 	 0.999960810034 
s 	 0 	 65 	 70 	 0 	 1 	 0.999954146033 	 0.999954146033 	 0.999954146033 
s 	 0 	 70 	 75 	 0 	 1 	 0.999938978725 	 0.999938978725 	 0.999938978725 
s 	 0 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
lf 	 1 	 0 	 5 	 0 	 1 	 0.000000000806 	 0.000000000806 	 0.000000000806 
lf 	 1 	 5 	 10 	 0 	 1 	 0.000000002766 	 0.000000002766 	 0.000000002766 
lf 	 1 	 10 	 15 	 0 	 1 	 0.000000003069 	 0.000000003069 	 0.000000003069 
lf 	 1 	 15 	 20 	 0 	 1 	 0.000000010727 	 0.000000010727 	 0.000000010727 
lf 	 1 	 20 	 25 	 0 	 1 	 0.000000039621 	 0.000000039621 	 0.000000039621 
lf 	 1 	 25 	 30 	 0 	 1 	 0.000000050006 	 0.000000050006 	 0.000000050006 
lf 	 1 	 30 	 35 	 0 	 1 	 0.000000051342 	 0.000000051342 	 0.000000051342 
lf 	 1 	 35 	 40 	 0 	 1 	 0.000000048494 	 0.000000048494 	 0.000000048494 
lf 	 1 	 40 	 45 	 0 	 1 	 0.000000047871 	 0.000000047871 	 0.000000047871 
lf 	 1 	 45 	 50 	 0 	 1 	 0.000000050749 	 0.000000050749 	 0.000000050749 
lf 	 1 	 50 	 55 	 0 	 1 	 0.000000054813 	 0.000000054813 	 0.000000054813 
lf 	 1 	 55 	 60 	 0 	 1 	 0.000000056136 	 0.000000056136 	 0.000000056136 
lf 	 1 	 60 	 65 	 0 	 1 	 0.000000070479 	 0.000000070479 	 0.000000070479 
lf 	 1 	 65 	 70 	 0 	 1 	 0.000000043388 	 0.000000043388 	 0.000000043388 
lf 	 1 	 70 	 75 	 0 	 1 	 0.000000037488 	 0.000000037488 	 0.000000037488 
lf 	 1 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ls 	 2 	 0 	 5 	 0 	 1 	 0.000000139848 	 0.000000139848 	 0.000000139848 
ls 	 2 	 5 	 10 	 0 	 1 	 0.000000750047 	 0.000000750047 	 0.000000750047 
ls 	 2 	 10 	 15 	 0 	 1 	 0.000001519763 	 0.000001519763 	 0.000001519763 
ls 	 2 	 15 	 20 	 0 	 1 	 0.000002029947 	 0.000002029947 	 0.000002029947 
ls 	 2 	 20 	 25 	 0 	 1 	 0.000003725728 	 0.000003725728 	 0.000003725728 
ls 	 2 	 25 	 30 	 0 	 1 	 0.000006678823 	 0.000006678823 	 0.000006678823 
ls 	 2 	 30 	 35 	 0 	 1 	 0.000009672602 	 0.000009672602 	 0.000009672602 
ls 	 2 	 35 	 40 	 0 	 1 	 0.000012288042 	 0.000012288042 	 0.000012288042 
ls 	 2 	 40 	 45 	 0 	 1 	 0.000015166168 	 0.000015166168 	 0.000015166168 
ls 	 2 	 45 	 50 	 0 	 1 	 0.000019756540 	 0.000019756540 	 0.000019756540 
ls 	 2 	 50 	 55 	 0 	 1 	 0.000023414540 	 0.000023414540 	 0.000023414540 
ls 	 2 	 55 	 60 	 0 	 1 	 0.000027784663 	 0.000027784663 	 0.000027784663 
ls 	 2 	 60 	 65 	 0 	 1 	 0.000034331600 	 0.000034331600 	 0.000034331600 
ls 	 2 	 65 	 70 	 0 	 1 	 0.000039822972 	 0.000039822972 	 0.000039822972 
ls 	 2 	 70 	 75 	 0 	 1 	 0.000052122861 	 0.000052122861 	 0.000052122861 
ls 	 2 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
di+ 	 3 	 0 	 5 	 0 	 1 	 0.000000000137 	 0.000000000137 	 0.000000000137 
di+ 	 3 	 5 	 10 	 0 	 1 	 0.000000000553 	 0.000000000553 	 0.000000000553 
di+ 	 3 	 10 	 15 	 0 	 1 	 0.000000000768 	 0.000000000768 	 0.000000000768 
di+ 	 3 	 15 	 20 	 0 	 1 	 0.000000009823 	 0.000000009823 	 0.000000009823 
di+ 	 3 	 20 	 25 	 0 	 1 	 0.000000039447 	 0.000000039447 	 0.000000039447 
di+ 	 3 	 25 	 30 	 0 	 1 	 0.000000061318 	 0.000000061318 	 0.000000061318 
di+ 	 3 	 30 	 35 	 0 	 1 	 0.000000070480 	 0.000000070480 	 0.000000070480 
di+ 	 3 	 35 	 40 	 0 	 1 	 0.000000072843 	 0.000000072843 	 0.000000072843 
di+ 	 3 	 40 	 45 	 0 	 1 	 0.000000075726 	 0.000000075726 	 0.000000075726 
di+ 	 3 	 45 	 50 	 0 	 1 	 0.000000083889 	 0.000000083889 	 0.000000083889 
di+ 	 3 	 50 	 55 	 0 	 1 	 0.000000092345 	 0.000000092345 	 0.000000092345 
di+ 	 3 	 55 	 60 	 0 	 1 	 0.000000143350 	 0.000000143350 	 0.000000143350 
di+ 	 3 	 60 	 65 	 0 	 1 	 0.000000193561 	 0.000000193561 	 0.000000193561 
di+ 	 3 	 65 	 70 	 0 	 1 	 0.000000255089 	 0.000000255089 	 0.000000255089 
di+ 	 3 	 70 	 75 	 0 	 1 	 0.000000344555 	 0.000000344555 	 0.000000344555 
di+ 	 3 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
di- 	 4 	 0 	 5 	 0 	 1 	 0.000000001069 	 0.000000001069 	 0.000000001069 
di- 	 4 	 5 	 10 	 0 	 1 	 0.000000004364 	 0.000000004364 	 0.000000004364 
di- 	 4 	 10 	 15 	 0 	 1 	 0.000000006111 	 0.000000006111 	 0.000000006111 
di- 	 4 	 15 	 20 	 0 	 1 	 0.000000007357 	 0.000000007357 	 0.000000007357 
di- 	 4 	 20 	 25 	 0 	 1 	 0.000000020899 	 0.000000020899 	 0.000000020899 
di- 	 4 	 25 	 30 	 0 	 1 	 0.000000032402 	 0.000000032402 	 0.000000032402 
di- 	 4 	 30 	 35 	 0 	 1 	 0.000000037737 	 0.000000037737 	 0.000000037737 
di- 	 4 	 35 	 40 	 0 	 1 	 0.000000039474 	 0.000000039474 	 0.000000039474 
di- 	 4 	 40 	 45 	 0 	 1 	 0.000000041295 	 0.000000041295 	 0.000000041295 
di- 	 4 	 45 	 50 	 0 	 1 	 0.000000045832 	 0.000000045832 	 0.000000045832 
di- 	 4 	 50 	 55 	 0 	 1 	 0.000000050414 	 0.000000050414 	 0.000000050414 
di- 	 4 	 55 	 60 	 0 	 1 	 0.000000078112 	 0.000000078112 	 0.000000078112 
di- 	 4 	 60 	 65 	 0 	 1 	 0.000000106622 	 0.000000106622 	 0.000000106622 
di- 	 4 	 65 	 70 	 0 	 1 	 0.000000157093 	 0.000000157093 	 0.000000157093 
di- 	 4 	 70 	 75 	 0 	 1 	 0.000000224783 	 0.000000224783 	 0.000000224783 
di- 	 4 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 0 	 5 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 5 	 10 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 10 	 15 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 15 	 20 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 20 	 25 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 25 	 30 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 30 	 35 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 35 	 40 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 40 	 45 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 45 	 50 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 50 	 55 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 55 	 60 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 60 	 65 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 65 	 70 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 70 	 75 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ti+ 	 6 	 0 	 5 	 0 	 1 	 0.000000000020 	 0.000000000020 	 0.000000000020 
ti+ 	 6 	 5 	 10 	 0 	 1 	 0.000000000085 	 0.000000000085 	 0.000000000085 
ti+ 	 6 	 10 	 15 	 0 	 1 	 0.000000000123 	 0.000000000123 	 0.000000000123 
ti+ 	 6 	 15 	 20 	 0 	 1 	 0.000000001395 	 0.000000001395 	 0.000000001395 
ti+ 	 6 	 20 	 25 	 0 	 1 	 0.000000005779 	 0.000000005779 	 0.000000005779 
ti+ 	 6 	 25 	 30 	 0 	 1 	 0.000000009419 	 0.000000009419 	 0.000000009419 
