entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 76507912.000000 76507912.000000 76507912.000000
5 10 0 1 1950 1951 57397824.000000 57397824.000000 57397824.000000
10 15 0 1 1950 1951 54824556.000000 54824556.000000 54824556.000000
15 20 0 1 1950 1951 52244576.000000 52244576.000000 52244576.000000
20 25 0 1 1950 1951 46260112.000000 46260112.000000 46260112.000000
25 30 0 1 1950 1951 41709984.000000 41709984.000000 41709984.000000
30 35 0 1 1950 1951 41132600.000000 41132600.000000 41132600.000000
35 40 0 1 1950 1951 37135724.000000 37135724.000000 37135724.000000
40 45 0 1 1950 1951 32148110.000000 32148110.000000 32148110.000000
45 50 0 1 1950 1951 29043306.000000 29043306.000000 29043306.000000
50 55 0 1 1950 1951 23622568.000000 23622568.000000 23622568.000000
55 60 0 1 1950 1951 21284264.000000 21284264.000000 21284264.000000
60 65 0 1 1950 1951 16550247.000000 16550247.000000 16550247.000000
65 70 0 1 1950 1951 12440896.000000 12440896.000000 12440896.000000
70 120 0 1 1950 1951 12116598.000000 12116598.000000 12116598.000000
0 5 0 1 1951 1952 84200208.000000 84200208.000000 84200208.000000
5 10 0 1 1951 1952 59268668.000000 59268668.000000 59268668.000000
10 15 0 1 1951 1952 54995288.000000 54995288.000000 54995288.000000
15 20 0 1 1951 1952 53054848.000000 53054848.000000 53054848.000000
20 25 0 1 1951 1952 47450080.000000 47450080.000000 47450080.000000
25 30 0 1 1951 1952 42189624.000000 42189624.000000 42189624.000000
30 35 0 1 1951 1952 41295440.000000 41295440.000000 41295440.000000
35 40 0 1 1951 1952 37919244.000000 37919244.000000 37919244.000000
40 45 0 1 1951 1952 32679464.000000 32679464.000000 32679464.000000
45 50 0 1 1951 1952 29436632.000000 29436632.000000 29436632.000000
50 55 0 1 1951 1952 24085712.000000 24085712.000000 24085712.000000
55 60 0 1 1951 1952 21205112.000000 21205112.000000 21205112.000000
60 65 0 1 1951 1952 16666540.000000 16666540.000000 16666540.000000
65 70 0 1 1951 1952 12496154.000000 12496154.000000 12496154.000000
70 120 0 1 1951 1952 12668056.000000 12668056.000000 12668056.000000
0 5 0 1 1952 1953 92575552.000000 92575552.000000 92575552.000000
5 10 0 1 1952 1953 61318372.000000 61318372.000000 61318372.000000
10 15 0 1 1952 1953 54644720.000000 54644720.000000 54644720.000000
15 20 0 1 1952 1953 53281048.000000 53281048.000000 53281048.000000
20 25 0 1 1952 1953 48322244.000000 48322244.000000 48322244.000000
25 30 0 1 1952 1953 42555012.000000 42555012.000000 42555012.000000
30 35 0 1 1952 1953 40890992.000000 40890992.000000 40890992.000000
35 40 0 1 1952 1953 38401644.000000 38401644.000000 38401644.000000
40 45 0 1 1952 1953 33103476.000000 33103476.000000 33103476.000000
45 50 0 1 1952 1953 29391872.000000 29391872.000000 29391872.000000
50 55 0 1 1952 1953 24607616.000000 24607616.000000 24607616.000000
55 60 0 1 1952 1953 20854272.000000 20854272.000000 20854272.000000
60 65 0 1 1952 1953 16771324.000000 16771324.000000 16771324.000000
65 70 0 1 1952 1953 12304690.000000 12304690.000000 12304690.000000
70 120 0 1 1952 1953 13006464.000000 13006464.000000 13006464.000000
0 5 0 1 1953 1954 98931016.000000 98931016.000000 98931016.000000
5 10 0 1 1953 1954 63941780.000000 63941780.000000 63941780.000000
10 15 0 1 1953 1954 54328136.000000 54328136.000000 54328136.000000
