Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000 1070.000000 800.000000 1380.000000 WHO_database 96.000000 75.000000 120.000000 WHO_database
2001 1040.000000 790.000000 1320.000000 WHO_database 88.000000 71.000000 110.000000 WHO_database
2002 1000.000000 770.000000 1260.000000 WHO_database 81.000000 68.000000  94.000000 WHO_database
2003  970.000000 760.000000 1210.000000 WHO_database 73.000000 66.000000  81.000000 WHO_database
2004  940.000000 750.000000 1150.000000 WHO_database 58.000000 52.000000  65.000000 WHO_database
2005  910.000000 730.000000 1100.000000 WHO_database 59.000000 52.000000  65.000000 WHO_database
2006  880.000000 720.000000 1050.000000 WHO_database 55.000000 49.000000  61.000000 WHO_database
2007  850.000000 710.000000 1000.000000 WHO_database 49.000000 44.000000  55.000000 WHO_database
2008  820.000000 700.000000  950.000000 WHO_database 44.000000 40.000000  49.000000 WHO_database
2009  810.000000 690.000000  940.000000 WHO_database 43.000000 39.000000  48.000000 WHO_database
2010  760.000000 650.000000  880.000000 WHO_database 41.000000 37.000000  46.000000 WHO_database
2011  750.000000 640.000000  860.000000 WHO_database 37.000000 34.000000  39.000000 WHO_database
2012  730.000000 630.000000  850.000000 WHO_database 33.000000 30.000000  36.000000 WHO_database
2013  700.000000 590.000000  800.000000 WHO_database 33.000000 30.000000  36.000000 WHO_database
2014  670.000000 570.000000  770.000000 WHO_database 30.000000 27.000000  33.000000 WHO_database
2015  650.000000 550.000000  750.000000 WHO_database 30.000000 27.000000  33.000000 WHO_database
2016  630.000000 540.000000  730.000000 WHO_database 30.000000 27.000000  33.000000 WHO_database
2017  620.000000 530.000000  720.000000 WHO_database 28.000000 25.000000  31.000000 WHO_database
2018  610.000000 520.000000  700.000000 WHO_database 25.000000 23.000000  28.000000 WHO_database
2019  580.000000 500.000000  670.000000 WHO_database 23.000000 21.000000  26.000000 WHO_database
