Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000 4210.000000 2730.000000 6020.000000 WHO_database 1610.000000 930.000000 2470.000000 WHO_database
2001 4090.000000 2650.000000 5840.000000 WHO_database 1490.000000 880.000000 2260.000000 WHO_database
2002 3930.000000 2550.000000 5620.000000 WHO_database 1290.000000 770.000000 1940.000000 WHO_database
2003 3760.000000 2430.000000 5370.000000 WHO_database 1160.000000 700.000000 1730.000000 WHO_database
2004 3580.000000 2320.000000 5110.000000 WHO_database 1040.000000 630.000000 1550.000000 WHO_database
2005 3410.000000 2200.000000 4870.000000 WHO_database  970.000000 580.000000 1450.000000 WHO_database
2006 3250.000000 2100.000000 4640.000000 WHO_database  920.000000 560.000000 1380.000000 WHO_database
2007 3100.000000 2010.000000 4430.000000 WHO_database  830.000000 500.000000 1240.000000 WHO_database
2008 2960.000000 1920.000000 4230.000000 WHO_database  710.000000 430.000000 1060.000000 WHO_database
2009 2820.000000 1830.000000 4030.000000 WHO_database  610.000000 370.000000  910.000000 WHO_database
2010 2680.000000 1730.000000 3830.000000 WHO_database  530.000000 320.000000  790.000000 WHO_database
2011 2530.000000 1820.000000 3370.000000 WHO_database  460.000000 330.000000  610.000000 WHO_database
2012 2390.000000 1540.000000 3410.000000 WHO_database  440.000000 280.000000  620.000000 WHO_database
2013 2240.000000 1450.000000 3200.000000 WHO_database  450.000000 300.000000  640.000000 WHO_database
2014 2070.000000 1340.000000 2950.000000 WHO_database  440.000000 280.000000  620.000000 WHO_database
2015 1920.000000 1420.000000 2500.000000 WHO_database  310.000000 210.000000  420.000000 WHO_database
2016 1770.000000 1250.000000 2390.000000 WHO_database  300.000000 200.000000  410.000000 WHO_database
2017 1640.000000 1150.000000 2210.000000 WHO_database  280.000000 190.000000  390.000000 WHO_database
2018 1510.000000 1070.000000 2040.000000 WHO_database  240.000000 160.000000  340.000000 WHO_database
2019 1400.000000  980.000000 1880.000000 WHO_database  220.000000 140.000000  300.000000 WHO_database
