Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000 4510.000000 2760.000000 6680.000000 WHO_database 1770.000000 1040.000000 2700.000000 WHO_database
2001 4990.000000 3060.000000 7400.000000 WHO_database 1900.000000 1110.000000 2910.000000 WHO_database
2002 5340.000000 3270.000000 7910.000000 WHO_database 1990.000000 1150.000000 3050.000000 WHO_database
2003 6100.000000 3730.000000 9040.000000 WHO_database 2240.000000 1290.000000 3450.000000 WHO_database
2004 6340.000000 3880.000000 9390.000000 WHO_database 2310.000000 1330.000000 3570.000000 WHO_database
2005 6300.000000 3850.000000 9330.000000 WHO_database 2300.000000 1320.000000 3550.000000 WHO_database
2006 6460.000000 3950.000000 9580.000000 WHO_database 2360.000000 1630.000000 3230.000000 WHO_database
2007 6180.000000 3780.000000 9150.000000 WHO_database 2200.000000 1520.000000 3000.000000 WHO_database
2008 5640.000000 3450.000000 8360.000000 WHO_database 1970.000000 1370.000000 2690.000000 WHO_database
2009 5660.000000 3460.000000 8380.000000 WHO_database 1970.000000 1360.000000 2680.000000 WHO_database
2010 5310.000000 3250.000000 7860.000000 WHO_database 1810.000000 1240.000000 2470.000000 WHO_database
2011 5060.000000 3100.000000 7500.000000 WHO_database 1700.000000 1180.000000 2310.000000 WHO_database
2012 4710.000000 2880.000000 6980.000000 WHO_database 1560.000000 1080.000000 2130.000000 WHO_database
2013 4430.000000 2710.000000 6560.000000 WHO_database 1460.000000 1010.000000 2000.000000 WHO_database
2014 4230.000000 2590.000000 6260.000000 WHO_database 1380.000000  950.000000 1880.000000 WHO_database
2015 3800.000000 2330.000000 5640.000000 WHO_database 1220.000000  840.000000 1670.000000 WHO_database
2016 3480.000000 2130.000000 5160.000000 WHO_database 1100.000000  760.000000 1510.000000 WHO_database
2017 3190.000000 1950.000000 4720.000000 WHO_database  870.000000  600.000000 1200.000000 WHO_database
2018 2920.000000 1790.000000 4320.000000 WHO_database  640.000000  440.000000  870.000000 WHO_database
2019 2670.000000 1630.000000 3960.000000 WHO_database  620.000000  420.000000  850.000000 WHO_database

